epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3273,2.02533,8.72986,1.359,0.24285,0.3538,0.19309,0.07051,1.85603,6.90795,1.22298,0.0401635,5.9375e-05,5.9375e-05
2,79.0995,1.76206,6.17232,1.17562,0.29647,0.36907,0.27636,0.11762,1.75888,6.21819,1.19748,0.0302231,0.000118981,0.000118981
3,125.86,1.71785,5.83605,1.13597,0.38748,0.43306,0.34408,0.14577,1.71709,5.92639,1.15092,0.0202824,0.000178191,0.000178191
4,169.036,1.69111,5.31032,1.13975,0.39139,0.44325,0.38364,0.15661,1.69992,5.72518,1.133,0.0103412,0.000237005,0.000237005
5,212.357,1.6399,5.01029,1.09707,0.34154,0.54657,0.34909,0.14817,1.70751,5.62514,1.13397,0.00039959,0.000295423,0.000295423
6,253.958,1.61313,4.81593,1.0743,0.37634,0.39608,0.35593,0.16207,1.72971,6.05665,1.14605,0.00029505,0.00029505,0.00029505
7,301.074,1.59005,4.4928,1.07139,0.39417,0.4666,0.36065,0.15642,1.67528,5.50183,1.11754,0.00029406,0.00029406,0.00029406
8,342.335,1.56566,4.33519,1.06427,0.44316,0.43902,0.40675,0.16881,1.80838,5.88147,1.18667,0.00029307,0.00029307,0.00029307
9,386.885,1.57676,4.17422,1.06237,0.51341,0.37876,0.42551,0.18737,1.76751,5.529,1.19801,0.00029208,0.00029208,0.00029208
10,432.363,1.53385,3.91973,1.04194,0.39615,0.52029,0.40183,0.16512,1.7413,5.81331,1.15057,0.00029109,0.00029109,0.00029109
11,473.246,1.48869,3.71671,1.02341,0.43482,0.48445,0.41878,0.1739,1.82729,5.82175,1.20201,0.0002901,0.0002901,0.0002901
12,514.265,1.47808,3.5398,1.01731,0.35305,0.43544,0.33903,0.14474,1.76378,5.90083,1.16565,0.00028911,0.00028911,0.00028911
13,551.338,1.46338,3.30969,0.99782,0.44501,0.43641,0.40859,0.18,1.74736,5.7005,1.1648,0.00028812,0.00028812,0.00028812
14,588.165,1.44912,3.09292,0.99748,0.41028,0.49547,0.39092,0.15931,1.91327,6.0043,1.24624,0.00028713,0.00028713,0.00028713
15,630.106,1.44768,2.97989,1.00353,0.39245,0.48249,0.37942,0.15227,1.87047,6.25389,1.24697,0.00028614,0.00028614,0.00028614
16,666.33,1.42585,2.90575,0.9792,0.41729,0.48071,0.40031,0.1749,1.82737,6.01577,1.21116,0.00028515,0.00028515,0.00028515
17,707.595,1.4052,2.79387,0.97157,0.41017,0.49435,0.40296,0.17612,1.87999,6.14136,1.23603,0.00028416,0.00028416,0.00028416
18,749.879,1.39281,2.76488,0.96113,0.44357,0.47493,0.41507,0.17569,1.82286,6.28786,1.2233,0.00028317,0.00028317,0.00028317
19,787.265,1.3499,2.529,0.94522,0.47206,0.46468,0.40961,0.17034,1.93355,6.21563,1.27145,0.00028218,0.00028218,0.00028218
20,823.854,1.31539,2.33603,0.93312,0.42412,0.48236,0.40861,0.17474,1.84534,6.26199,1.27435,0.00028119,0.00028119,0.00028119
21,863.172,1.33886,2.49996,0.95076,0.3396,0.48273,0.33528,0.1432,1.83427,6.38256,1.26891,0.0002802,0.0002802,0.0002802
22,902.972,1.30913,2.34924,0.92285,0.43016,0.4675,0.39218,0.16363,1.85479,6.50613,1.26905,0.00027921,0.00027921,0.00027921
23,941.735,1.29856,2.27235,0.92015,0.44122,0.42476,0.38798,0.16111,1.86716,6.27949,1.26669,0.00027822,0.00027822,0.00027822
24,978.119,1.29136,2.29672,0.91019,0.39712,0.47577,0.38991,0.15974,1.85658,6.52564,1.24288,0.00027723,0.00027723,0.00027723
25,1020.4,1.25483,2.16349,0.90397,0.4224,0.42921,0.38622,0.15877,1.88552,6.95647,1.28925,0.00027624,0.00027624,0.00027624
26,1061.18,1.25372,2.14784,0.89227,0.42164,0.50819,0.40354,0.16516,1.88531,6.15806,1.26484,0.00027525,0.00027525,0.00027525
27,1097.05,1.23673,2.06966,0.89232,0.4539,0.40972,0.36631,0.14617,1.96812,6.8573,1.32172,0.00027426,0.00027426,0.00027426
28,1139,1.21894,2.01221,0.88194,0.41598,0.39193,0.35658,0.15145,1.96593,7.08041,1.32839,0.00027327,0.00027327,0.00027327
29,1180.08,1.2095,1.95691,0.87601,0.39598,0.41964,0.34913,0.14282,1.94785,7.13442,1.30615,0.00027228,0.00027228,0.00027228
